#tor_pair_id,src,dst,pdf_num_bytes
200,2985,2996,5.3250e-05
201,1706,1726,1.0976e-06
202,1706,1715,1.2632e-05
203,3839,3846,4.9745e-06
204,2368,7,1.1706e-04
205,2985,2953,1.8108e-05
206,2368,2406,5.5904e-05
207,2368,2347,9.3188e-06
208,2985,2955,8.2212e-06
209,2985,2963,1.1614e-05
210,3839,3831,1.6442e-06
211,3839,3875,3.0715e-05
212,2985,2968,9.9281e-06
213,2368,12,3.2927e-06
214,2985,38,1.2629e-06
215,2368,2391,1.1514e-05
216,3839,3841,1.1510e-05
217,1706,1695,9.8655e-06
218,2985,2989,2.9726e-05
219,3839,3861,1.4865e-05
220,2368,2394,2.8503e-05
221,3839,3849,3.8394e-06
222,2985,2978,1.8233e-05
223,2985,2248,9.8125e-05
224,2368,2381,4.3861e-06
225,2368,2354,4.3861e-06
226,1706,1721,4.4445e-05
227,2985,2999,1.9981e-05
228,3839,3820,1.0963e-05
229,2368,2361,2.7418e-06
230,1706,1716,2.2560e-05
231,3839,3859,1.1539e-05
232,2368,2398,3.2927e-06
233,2368,2403,3.0694e-05
234,2985,2950,1.9752e-05
235,1706,13,1.7903e-06
236,2368,17,1.5700e-05
237,1706,20,4.9739e-05
238,2985,2967,6.6187e-06
239,2368,2401,3.2885e-05
240,3839,3878,3.2380e-05
241,2985,2971,2.6412e-05
242,1706,1728,4.9953e-06
243,2985,33,5.5806e-04
244,3839,18,1.5510e-03
245,2368,2388,2.2477e-05
246,3839,3876,2.9596e-05
247,1706,1680,3.1266e-05
248,2985,2984,2.8161e-05
249,3839,3865,4.9536e-06
250,2368,2375,4.3861e-06
251,1706,1711,2.3700e-05
252,2985,3005,6.6605e-06
253,2368,1643,1.8730e-03
254,1706,21,5.8371e-05
255,2368,2378,8.2254e-06
256,2368,2367,1.3154e-05
257,1706,1722,3.1282e-05
258,2985,2994,8.3464e-05
259,2985,5,8.3048e-05
260,2985,2957,1.1551e-05
261,1706,1737,1.6651e-06
262,3839,3847,1.0458e-05
263,3839,3836,1.6442e-06
264,2368,2400,4.2750e-05
265,1706,1675,1.3709e-05
266,3839,29,3.9938e-06
267,2368,16,3.2885e-06
268,2368,2374,1.6442e-06
269,3839,4,2.6671e-04
270,3839,3877,2.6329e-05
271,2985,2966,4.9536e-06
272,2368,11,3.2927e-05
273,1706,15,1.6819e-04
274,2368,1497,3.2468e-06
275,1706,1685,1.5391e-05
276,2985,2987,3.3624e-05
277,2368,2372,2.7418e-06
278,1706,26,2.3813e-06
279,3839,3856,1.2674e-05
280,1706,1696,2.1930e-05
281,2985,3000,1.8279e-05
282,2985,2977,1.9877e-05
283,2368,2364,2.7418e-06
284,3839,3868,3.0719e-05
285,2368,2351,4.9327e-06
286,3839,3851,3.2885e-06
287,2985,21,1.0216e-04
288,3839,14,2.8774e-06
289,1706,1676,4.6064e-05
290,2985,2972,2.4789e-05
291,1706,12,1.6388e-05
292,2368,2377,2.7418e-06
293,3839,3850,3.2885e-06
294,1706,1691,7.1320e-06
295,3839,3834,1.6442e-06
296,2368,36,1.5936e-06
297,3839,20,1.0623e-04
298,3839,3880,4.4395e-05
299,1706,1686,1.7014e-05
300,2985,2982,3.3686e-05
301,3839,3870,1.0976e-06
302,2368,2369,6.5770e-06
303,2368,2358,2.7418e-06
304,1706,1701,2.3149e-05
305,2985,3003,1.8316e-05
306,2368,21,7.5866e-04
307,2368,2383,1.4260e-05
308,2368,18,2.4789e-06
309,1706,1639,2.6170e-05
310,1706,1712,2.9788e-05
311,2368,24,4.2238e-06
312,2368,2407,3.1245e-05
313,2368,2348,7.6746e-06
314,2985,2954,1.6442e-05
315,3839,3844,6.0303e-06
316,3839,3830,4.3861e-06
317,3839,13,1.0523e-04
318,3839,3874,3.6194e-05
319,2985,2975,1.8191e-05
320,3839,1464,1.8730e-03
321,2985,2952,2.3061e-05
322,1706,1692,6.5979e-06
323,2985,2988,1.1531e-05
324,2985,2965,6.6187e-06
